Zona;Ene;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
Amazonas;0.6;0.3;0.3;1;1;0.3;0.3;0.3;0.3;0.6;0.6;0.6
Antioquia;0;0;0.3;1;1;0.6;0.6;0.3;1;1;0.6;0
Arauca;0;0;0.3;0.3;1;1;1;1;1;1;0.6;0
Atlantico;0;0;0;0.3;1;0.6;0.3;1;1;1;0.6;0
Bolivar;0;0;0.3;0.3;1;0.6;0.6;0.3;1;1;0.6;0
Boyaca;0;0;0.3;1;1;1;1;1;1;1;0.6;0
Caldas;0.6;0.6;0.3;1;1;0.6;0;0.3;0.3;1;1;0.6
Caqueta;0;0;0.3;1;1;1;1;0.6;0.6;0.3;0.6;0
Casanare;0;0;0.3;0.3;1;1;1;1;1;1;0.6;0
Cauca;0.6;0.6;0.3;1;1;1;0.6;0.6;0.3;1;1;0.6
Cesar;0;0;0.3;1;1;0.6;0.6;0.3;1;1;0.6;0.6
Choco;0.6;0.6;0.6;1;1;1;1;1;1;1;1;1
Cordoba;0;0;0;0.3;1;1;0.6;0.3;1;1;0.6;0
Cundinamarca;0;0;0.3;0.3;1;0.6;0.6;0.6;0.3;1;1;0.6
Guainia;0;0;0.3;0.3;1;1;1;1;0.6;1;0.6;0.6
Guaviare;0;0.3;0.3;1;1;1;1;0.6;0.6;1;0.6;0.6
Huila;0.6;0.3;1;1;0.6;0;0;0;0.3;1;1;1
La_Guajira;0;0;0;0.3;1;0.6;0;0.3;1;1;0.6;0
Magdalena;0;0;0.3;1;1;1;0.6;0.3;1;1;0.6;0.6
Meta;0;0;0.3;0.3;1;1;1;1;1;1;0.6;0
Narino;1;0.6;0.6;1;1;1;0.6;0.6;0.6;1;1;1
Norte_de_Santander;0;0;0.3;1;0.6;0;0;0.3;1;1;1;0.6
Putumayo;0;0.3;0.3;1;1;1;1;0.6;0.6;1;0.6;0
Quindio;0.6;0.6;0.3;1;1;0.6;0.6;0.6;0.3;1;1;0.6
Risaralda;0.6;0.6;0.3;1;1;0.6;0.6;0.6;0.3;1;1;0.6
Santander;0;0.3;0.3;1;1;0.6;0;0;0.3;1;1;0.6
Sucre;0;0;0;0.3;1;1;1;0.6;1;1;0.6;0.6
Tolima;0;0;0.3;1;1;0.6;0;0;0.3;1;1;0.6
Valle_del_Cauca;0;0;0.3;1;1;0.6;0;0;0.3;1;1;0.6
Vaupes;0;0.3;0.3;1;1;1;1;1;1;1;0.6;0
Vichada;0;0;0.3;0.3;1;1;1;1;1;0.6;0.6;0
Bogota_DC;0;0;0.3;0.3;1;0.6;0.6;0.6;0.3;1;1;0.6
